Observation	Action i	Action j	Action hot bits	Reward	Evaluation time	Agent seed
[128   0   0 ...   0   0   0]	0	13	[443  62 364 462 276  30 234]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	14	[283 497   1 244 182 405   0]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	0	[293 414 467 424  15 381 436]	-9.085336024057343	0.0	
[128   0   0 ...   0   0   0]	1	1	[183 459  57 358 140 196  39]	-9.08533602405734	0.006521701812744141	
[128   0   0 ...   0   0   0]	1	2	[302 408 311 291 245 202 466]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	3	[327 469 316 385 213 352 100]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	4	[  9 365 213  51 185 366  40]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	5	[284 443 274 491 502 171  77]	-9.08533602405734	0.00096893310546875	
[128   0   0 ...   0   0   0]	1	6	[476  82 403 329 237  72  88]	-9.08533602405734	0.0009760856628417969	
[128   0   0 ...   0   0   0]	1	7	[202 495 424 489 394 299  62]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	8	[442 400 443  48 302 208 198]	-9.08533602405734	0.0019724369049072266	
[128   0   0 ...   0   0   0]	1	9	[425  43 475   3 310 470  54]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	10	[ 90 340 470 212 272  39 446]	-9.08533602405734	0.0009756088256835938	
[128   0   0 ...   0   0   0]	1	11	[379 414 391 338 465 443 361]	-9.08533602405734	0.0009739398956298828	
[128   0   0 ...   0   0   0]	1	12	[203 450 380 222 276 177   9]	-9.08533602405734	0.0009756088256835938	
[128   0   0 ...   0   0   0]	1	13	[367  95 248 258 495 257 430]	-9.08533602405734	0.0009770393371582031	
[128   0   0 ...   0   0   0]	1	14	[125 362  59 284 367  65 354]	-9.08533602405734	0.0019745826721191406	
[128   0   0 ...   0   0   0]	0	0	[334 184 276  13 396 250  34]	-9.08533602405734	0.0019729137420654297	
[128   0   0 ...   0   0   0]	0	1	[356 223 504 129 503 387  96]	-9.08533602405734	0.0009748935699462891	
[128   0   0 ...   0   0   0]	0	2	[340 382 396 360 164 200 174]	-9.08533602405734	0.0009760856628417969	
[128   0   0 ...   0   0   0]	0	3	[ 36 218 212 208 489  82 317]	-9.08533602405734	0.0010006427764892578	
[128   0   0 ...   0   0   0]	0	4	[329 401 394 265  37 300  65]	-9.08533602405734	0.0009748935699462891	
[128   0   0 ...   0   0   0]	0	5	[121 479  89  54 282  39  99]	-9.08533602405734	0.0019686222076416016	
[128   0   0 ...   0   0   0]	0	6	[ 23 507  36  91 469 195 434]	-9.08533602405734	0.0010027885437011719	
[128   0   0 ...   0   0   0]	0	7	[314   3 442  51 246  14   2]	-9.08533602405734	0.0009751319885253906	
[128   0   0 ...   0   0   0]	0	8	[418  26 254 174 295 233 336]	-9.08533602405734	0.0009772777557373047	
[128   0   0 ...   0   0   0]	0	9	[338 455 211 326 415 251 115]	-9.08533602405734	0.0019724369049072266	
[128   0   0 ...   0   0   0]	0	10	[480 309 268 473 296 406 494]	-9.08533602405734	0.0019996166229248047	
[128   0   0 ...   0   0   0]	0	11	[415 493 182 366 304 393   5]	-9.08533602405734	0.0009984970092773438	
[128   0   0 ...   0   0   0]	0	12	[ 17  28 210 457 344 260 302]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	13	[109 205  81 320  57 450 210]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	14	[467 239 501 294 463 379 407]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	0	[401  36 296 112 268 452 434]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	1	[323 379 314  94 453 377 466]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	2	[281 305  49 284 343 309 421]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	3	[447  51 411  13  50 457 131]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	4	[404 365 322 432 428 241 433]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	5	[ 86 493 232 252 302 290 368]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	6	[330  75 389 265 149 319 416]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	7	[458 130 279 326 378  84 424]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	8	[283 109 269 354  32 122 165]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	9	[135 489  39 434 493 200 367]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	10	[164 326 455 452 147  25  84]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	11	[367 389 503 131 449 342 261]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	12	[305 211 475 250 455 173   9]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	13	[344 251 463 310 391 302  64]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	14	[460 143 247 324 354 448 233]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	0	[341 389 273  26 331 176 179]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	1	[126 489 320 455 328 368 424]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	2	[ 16 269 164 379 100  40 351]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	3	[345 333 298  63 131  41 112]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	4	[  3 203  20 186 357  53 256]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	5	[335 211 218 317 387   4 509]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	6	[205  51 415 113 105 191 438]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	7	[172 142 505 469 177   4 299]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	8	[385  80 225 266  74  63 233]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	9	[378 128 253 119 219 124  25]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	10	[104 337 459  91 286 375 254]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	11	[254 302 212 295 130 451 316]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	12	[379 479 473 471 317 192 443]	-9.085336024057343	0.0	
[128   0   0 ...   0   0   0]	0	13	[275 240 113 280 354 301  25]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	14	[116  62 487 327 187 209 429]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	0	[327 451 232 308 176 369 319]	-9.08533602405734	0.015625953674316406	
[128   0   0 ...   0   0   0]	1	1	[ 39 140 370 353  80  73 401]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	2	[484 353 102 142 282 254 113]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	3	[159 315 267 342 416 131   7]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	4	[455 294 361  21 216 264 273]	-9.08533602405734	0.0	
